"Type","Compartment","Metric","LRT_P","Composition_included","Richness_effect_P"
"Multidimensional (2-D) ITV","Aboveground","Aboveground",2e-04,"Yes",0.2708
"Multidimensional (2-D) ITV","Belowground","Belowground",0.1425,"No",0.1626
"PCA-axis (1-D) ITV","Aboveground","Above_PC1",4e-04,"Yes",0.0739
"PCA-axis (1-D) ITV","Aboveground","Above_PC2",0.0124,"Yes",0.9301
"PCA-axis (1-D) ITV","Belowground","Below_PC1",0.0984,"No",0.2214
"PCA-axis (1-D) ITV","Belowground","Below_PC2",0.0373,"Yes",0.9326
"Single-trait ITV","Aboveground","LTO",0.0341,"Yes",0.2286
"Single-trait ITV","Aboveground","MLA",0.7492,"No",1e-04
"Single-trait ITV","Aboveground","SLA",0.1759,"No",0.0057
"Single-trait ITV","Aboveground","LDMC",0.2894,"No",0.4653
"Single-trait ITV","Aboveground","SSD",1,"No",0.286
"Single-trait ITV","Aboveground","Chl",0.0143,"Yes",0.324
"Single-trait ITV","Aboveground","Height",1,"No",0.5098
"Single-trait ITV","Belowground","SRL",0.0866,"No",0.1181
"Single-trait ITV","Belowground","RD",0.9414,"No",0.0282
"Single-trait ITV","Belowground","RTD",0.0202,"Yes",0.4586
"Single-trait ITV","Belowground","SRA",1e-04,"Yes",0.5003
"Species-level mean trait value","Aboveground","LTO",0.6057,"No",0
"Species-level mean trait value","Aboveground","MLA",0.0025,"Yes",0.0277
"Species-level mean trait value","Aboveground","SLA",0,"Yes",0.0102
"Species-level mean trait value","Aboveground","LDMC",0.0324,"Yes",0.0585
"Species-level mean trait value","Aboveground","SSD",0,"Yes",0.0036
"Species-level mean trait value","Aboveground","Chl",0.0014,"Yes",0.3915
"Species-level mean trait value","Aboveground","Height",0.0797,"No",0.2522
"Species-level mean trait value","Aboveground","Above_PC1",0,"Yes",0.0018
"Species-level mean trait value","Aboveground","Above_PC2",0.0065,"Yes",0.2974
"Species-level mean trait value","Belowground","SRL",0.2295,"No",0.0172
"Species-level mean trait value","Belowground","RD",0.1034,"No",3e-04
"Species-level mean trait value","Belowground","RTD",0,"Yes",0.9236
"Species-level mean trait value","Belowground","SRA",8e-04,"Yes",0.3869
"Species-level mean trait value","Belowground","Below_PC1",0,"Yes",0.7003
"Species-level mean trait value","Belowground","Below_PC2",0.2996,"No",4e-04
